,AGE,NUM_OF_BASKETS,RACE_LE,GENDER_LE,BODY_SIZE_LE,WITH_KIDS_LE,KIDS_CATEGORY_LE,BASKET_SIZE_LE,BASKET_COLOUR_LE,ATTIRE_LE,SHIRT_COLOUR_LE,SHIRT_TYPE_LE,PANTS_COLOUR_LE,PANTS_TYPE_LE,WASH_ITEM_LE,WASHER_NO_LE,DRYER_NO_LE,SPECTACLES_LE,DAY_LE,DAY_TYPE_LE
178,40.0,2.0,3,0,0,0,1,0,1,0,0,1,2,0,1,2,3,0,2,1
179,51.0,1.0,0,0,2,0,1,0,8,0,10,1,0,0,1,0,1,0,2,1
180,37.0,1.0,0,1,1,0,1,0,9,0,0,1,0,0,1,1,0,1,2,1
181,40.0,1.0,3,0,1,0,1,0,8,1,9,0,2,0,1,2,3,0,2,1
182,54.0,3.0,3,0,2,1,4,0,8,0,10,1,0,0,1,2,0,0,2,1
183,39.0,3.0,2,0,1,0,1,0,9,0,5,1,2,1,1,3,3,0,2,1
184,49.0,2.0,2,0,1,0,1,0,1,0,10,1,2,0,1,0,0,0,2,1
185,39.0,39.0,2,0,2,0,1,0,0,0,10,0,0,0,0,2,3,1,2,1
186,41.0,3.0,3,1,2,0,1,0,1,0,9,1,0,0,1,0,0,1,2,1
187,40.0,1.0,0,0,1,0,1,0,0,0,0,1,12,0,1,1,3,0,2,1
188,41.0,1.0,3,1,2,0,1,0,1,0,0,1,2,0,0,1,2,0,2,1
189,51.0,3.0,0,0,2,0,1,0,1,0,10,1,12,0,1,1,1,0,2,1
190,29.0,3.0,3,0,0,0,1,0,6,0,5,1,2,0,1,0,1,1,2,1
191,45.0,3.0,3,0,0,0,1,0,0,0,2,1,0,0,1,2,0,0,2,1
192,54.0,2.0,3,0,0,0,1,0,9,0,2,1,5,0,1,0,0,0,2,1
193,45.0,3.0,2,1,1,0,1,0,9,0,9,1,6,0,1,3,2,0,2,1
194,39.0,3.0,3,0,0,0,1,0,4,0,10,0,7,0,1,3,2,0,2,1
195,53.0,1.0,3,0,2,0,1,0,0,0,5,1,5,0,1,2,1,1,2,1
196,37.0,39.0,3,0,2,0,1,0,1,0,9,0,7,0,1,1,1,0,2,1
197,50.0,2.0,3,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,2,1
198,34.0,1.0,0,0,2,0,1,0,6,1,10,1,2,0,1,3,1,0,2,1
199,46.0,3.0,2,1,2,0,1,0,1,0,2,1,5,1,1,1,3,0,2,1
200,33.0,39.0,3,1,2,0,1,0,0,0,10,1,2,1,1,0,1,0,2,1
201,42.0,1.0,3,1,0,0,1,0,0,0,9,1,0,0,0,1,0,0,3,1
202,50.0,3.0,3,1,0,0,1,0,4,0,5,1,11,1,1,3,3,1,3,1
203,54.0,1.0,0,0,0,0,1,0,2,0,10,1,0,0,1,0,0,0,3,1
204,38.0,2.0,0,1,2,0,1,0,8,0,10,1,2,0,1,1,3,0,3,1
205,30.0,2.0,0,0,2,0,1,0,1,0,10,1,9,1,1,0,3,1,3,1
206,54.0,39.0,3,1,0,0,1,0,8,0,10,1,2,0,1,1,1,1,3,1
207,47.0,3.0,3,0,1,0,1,0,7,0,2,0,0,0,1,3,3,1,1,0
208,29.0,1.0,3,1,2,0,1,1,8,0,6,1,12,0,1,3,2,1,1,0
209,46.0,3.0,3,0,0,0,1,0,9,0,8,0,9,0,1,2,1,0,1,0
210,41.0,3.0,3,1,1,1,0,0,3,0,0,1,7,0,1,0,2,0,1,0
211,41.0,1.0,2,1,1,0,1,0,9,0,0,1,2,0,1,3,0,0,1,0
212,42.0,2.0,0,0,1,0,1,1,0,0,8,1,10,0,1,3,1,0,4,0
213,32.0,3.0,0,0,0,0,1,0,0,0,9,1,5,1,1,2,3,0,4,0
214,35.0,3.0,3,1,0,0,1,1,2,0,5,0,2,1,1,0,1,0,4,0
215,45.0,3.0,1,0,0,0,1,0,7,0,9,1,0,0,1,3,3,0,4,0
216,39.0,1.0,2,1,1,1,4,0,0,0,7,1,7,0,1,3,2,0,4,0
217,47.0,2.0,3,0,0,0,1,0,4,0,0,0,12,0,1,1,3,0,4,0
218,34.0,1.0,3,1,0,0,1,0,9,0,3,1,7,1,1,3,1,0,4,0
219,44.0,3.0,3,0,1,0,1,0,9,0,0,0,0,0,1,3,0,0,4,0
220,38.0,1.0,2,1,0,0,1,0,8,0,2,1,12,0,1,3,3,0,4,0
221,49.0,1.0,3,1,2,0,1,0,3,1,10,0,0,0,1,2,1,0,0,0
222,47.0,3.0,3,0,1,0,1,0,9,0,0,1,2,0,1,1,3,0,3,1
223,39.0,3.0,3,0,2,0,1,0,1,0,10,0,6,0,1,3,3,1,3,1
224,52.0,2.0,2,1,2,0,1,0,10,0,9,1,10,1,1,1,1,0,3,1
225,29.0,39.0,3,1,0,1,4,0,0,0,6,1,2,0,1,3,2,0,3,1
226,44.0,1.0,1,1,2,0,1,0,9,0,6,0,0,0,1,0,2,0,6,0
227,50.0,2.0,2,1,1,0,1,1,0,0,0,1,0,0,1,3,3,0,6,0
228,34.0,1.0,3,0,0,0,1,0,8,0,10,1,0,0,1,0,0,0,6,0
229,53.0,3.0,3,0,1,0,1,0,9,1,0,0,0,0,1,3,0,0,6,0
230,39.0,1.0,3,1,0,0,1,1,9,0,10,1,0,0,1,3,1,0,6,0
231,39.0,3.0,3,1,1,0,1,0,5,0,0,1,7,0,1,0,0,0,6,0
232,36.0,2.0,2,0,2,0,1,0,8,0,2,0,0,0,1,1,1,0,6,0
233,43.0,3.0,3,1,2,0,1,0,1,0,0,1,7,0,1,0,0,0,6,0
234,44.0,3.0,3,0,0,0,1,0,9,2,10,1,12,0,1,3,2,1,6,0
235,50.0,3.0,3,0,0,0,1,0,8,2,9,0,11,0,1,2,2,1,6,0
236,55.0,3.0,3,0,0,0,1,0,8,2,8,0,10,0,1,0,0,0,6,0
237,29.0,39.0,3,0,1,0,1,0,6,2,8,0,10,0,1,2,3,1,6,0
238,28.0,3.0,2,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,6,0
239,35.0,2.0,3,1,0,0,1,0,1,0,0,1,0,0,1,2,2,0,6,0
240,46.0,3.0,3,1,1,0,1,0,2,0,4,1,2,0,1,3,0,0,6,0
241,50.0,1.0,2,1,1,0,1,0,8,0,6,1,0,0,1,2,0,0,6,0
242,33.0,1.0,3,0,2,0,1,1,6,2,8,0,10,0,1,0,3,0,6,0
243,34.0,1.0,3,0,1,0,1,0,0,0,2,0,0,0,1,3,0,0,6,0
244,40.0,1.0,3,1,0,0,1,0,1,0,0,1,0,0,1,2,2,0,6,0
245,33.0,3.0,3,0,0,0,1,0,9,0,5,0,7,0,1,0,0,0,6,0
246,52.0,1.0,2,0,1,0,1,0,8,0,6,1,0,1,1,2,1,0,6,0
247,54.0,2.0,0,1,0,0,1,0,1,0,0,1,12,1,1,0,0,0,6,0
248,38.0,3.0,3,0,1,0,1,0,1,0,10,1,11,1,1,0,3,0,6,0
249,43.0,2.0,1,1,2,0,1,1,2,0,5,1,5,1,1,2,3,0,6,0
250,45.0,3.0,1,1,2,0,1,0,3,0,4,1,0,0,1,0,1,0,6,0
251,52.0,2.0,3,1,1,0,1,0,1,2,3,0,5,0,1,3,2,1,6,0
252,37.0,3.0,3,0,0,0,1,0,4,0,4,1,0,0,1,0,2,0,6,0
253,41.0,3.0,3,1,0,0,1,0,9,0,0,1,6,0,1,2,3,0,6,0
254,45.0,3.0,3,1,0,0,1,0,0,0,10,1,2,0,1,2,3,0,6,0
255,53.0,3.0,3,0,2,0,1,0,3,1,10,0,0,0,1,2,3,0,6,0
256,39.0,3.0,3,1,2,0,1,0,9,0,10,1,0,0,0,1,1,1,6,0
257,32.0,3.0,2,1,1,0,1,0,9,0,3,1,7,0,1,3,3,0,6,0
258,39.0,1.0,3,0,2,0,1,0,6,0,8,0,10,0,1,0,1,1,6,0
259,33.0,2.0,2,0,2,0,1,0,9,0,0,1,0,0,1,2,2,0,6,0
